日期,产品,类别,销售额,数量,地区,销售员
2024-01-15,笔记本电脑,电子产品,8999,2,北京,张三
2024-01-18,无线鼠标,电子产品,199,15,上海,李四
2024-01-20,机械键盘,电子产品,599,8,广州,王五
2024-02-05,笔记本电脑,电子产品,8999,3,深圳,赵六
2024-02-10,办公椅,办公家具,1299,5,北京,张三
2024-02-15,显示器,电子产品,2499,4,上海,李四
2024-03-01,笔记本电脑,电子产品,8999,1,广州,王五
2024-03-05,无线鼠标,电子产品,199,20,深圳,赵六
2024-03-10,打印机,电子产品,1899,3,北京,张三
2024-03-15,办公桌,办公家具,2199,2,上海,李四
2024-04-01,显示器,电子产品,2499,6,广州,王五
2024-04-05,机械键盘,电子产品,599,12,深圳,赵六
2024-04-10,笔记本电脑,电子产品,8999,4,北京,张三
2024-04-15,办公椅,办公家具,1299,8,上海,李四
2024-05-01,无线鼠标,电子产品,199,25,广州,王五
2024-05-05,显示器,电子产品,2499,3,深圳,赵六
2024-05-10,笔记本电脑,电子产品,8999,2,北京,张三
2024-05-15,打印机,电子产品,1899,5,上海,李四
2024-06-01,机械键盘,电子产品,599,10,广州,王五
2024-06-05,办公桌,办公家具,2199,4,深圳,赵六
2024-06-10,笔记本电脑,电子产品,8999,3,北京,张三
2024-06-15,显示器,电子产品,2499,7,上海,李四
2024-07-01,无线鼠标,电子产品,199,30,广州,王五
2024-07-05,办公椅,办公家具,1299,6,深圳,赵六
2024-07-10,笔记本电脑,电子产品,8999,5,北京,张三
2024-07-15,打印机,电子产品,1899,4,上海,李四
2024-08-01,显示器,电子产品,2499,8,广州,王五
2024-08-05,机械键盘,电子产品,599,15,深圳,赵六
2024-08-10,笔记本电脑,电子产品,8999,2,北京,张三
2024-08-15,办公桌,办公家具,2199,3,上海,李四
